epoch,reward_raw,reward_smooth,residual_std
1,-20.57484055,-20.57484055,0.73478079
2,-20.49903488,-20.57408249,0.73478324
3,-20.43484116,-20.57269008,0.73784838
4,-20.35451889,-20.57050836,0.79361200
5,-20.36560440,-20.56845932,0.80113407
6,-20.34039688,-20.56617870,0.80102947
7,-20.27198219,-20.56323673,0.82631663
8,-20.15418053,-20.55914617,0.82617950
9,-20.24038696,-20.55595858,0.82716397
10,-20.16226006,-20.55202160,0.83437654
11,-19.94114685,-20.54591285,0.83615446
12,-20.12271690,-20.54168089,0.83848734
13,-19.52243423,-20.53148842,0.86564937
14,-20.21785545,-20.52835209,0.86549542
15,-19.67430115,-20.51981158,0.86558044
16,-19.88655281,-20.51347899,0.90562237
17,-20.43274689,-20.51267167,1.15571050
18,-19.82188034,-20.50576376,1.24989768
19,-20.22353745,-20.50294150,1.25772779
20,-20.37126160,-20.50162470,1.25832318
21,-20.94638062,-20.50607226,1.25955406
22,-20.04594040,-20.50147094,1.27631000
23,-20.38911819,-20.50034741,1.38984541
24,-20.27997971,-20.49814373,1.43182882
25,-21.24633217,-20.50562562,1.43237545
26,-20.71693230,-20.50773869,1.47591628
27,-20.12421417,-20.50390344,1.58133250
28,-21.56348991,-20.51449931,1.58192034
29,-20.79212189,-20.51727553,1.60540800
30,-20.35042763,-20.51560705,1.63560097
31,-21.14801788,-20.52193116,1.64597308
32,-20.72799301,-20.52399178,1.65515626
33,-20.29884529,-20.52174031,1.65775383
34,-21.66221237,-20.53314503,1.82008203
35,-19.90522003,-20.52686578,1.85808947
36,-19.39700890,-20.51556722,1.85878201
37,-18.40808296,-20.49449237,1.87482279
38,-19.50804710,-20.48462792,1.94125075
39,-19.13674545,-20.47114910,1.97556516
40,-19.68868065,-20.46332441,1.99382409
41,-19.55492210,-20.45424039,1.99381658
42,-19.34914207,-20.44318941,1.99573105
43,-20.52234840,-20.44398100,2.01413951
44,-18.40223885,-20.42356357,2.01474585
45,-25.52979660,-20.47462590,2.01483497
46,-18.90902138,-20.45896986,2.07330422
47,-19.44040298,-20.44878419,2.15752151
48,-20.65272903,-20.45082364,2.22328064
49,-20.64469719,-20.45276237,2.27743281
50,-20.34985352,-20.45173329,2.34504638
51,-22.19356346,-20.46915159,2.39719328
52,-20.25601578,-20.46702023,2.48823998
53,-19.66534805,-20.45900351,2.53301010
54,-17.35955620,-20.42800903,2.54951398
55,-21.40816307,-20.43781057,2.56744743
56,-20.33729744,-20.43680544,2.60826106
57,-18.22462082,-20.41468360,2.61275786
58,-20.20907784,-20.41262754,2.62672902
59,-20.69281960,-20.41542946,2.65197192
60,-21.38416672,-20.42511683,2.66888908
61,-20.85119247,-20.42937759,2.70870453
62,-19.62986755,-20.42138249,2.71953868
63,-18.06764221,-20.39784509,2.73871453
64,-20.16094208,-20.39547606,2.74454407
65,-19.99818993,-20.39150319,2.76831114
66,-22.93127060,-20.41690087,2.77702462
67,-27.58564949,-20.48858835,2.83063796
68,-25.25927925,-20.53629526,2.84121435
69,-21.92782593,-20.55021057,2.89627696
70,-20.92121315,-20.55392060,2.92107856
71,-19.96466446,-20.54802803,2.92780636
72,-22.62435913,-20.56879135,2.92686305
73,-26.17573929,-20.62486082,2.92852454
74,-24.18662262,-20.66047844,2.94784726
75,-20.33345413,-20.65720820,2.97446615
76,-17.10824966,-20.62171861,2.96948992
77,-26.46047592,-20.68010619,3.01640784
78,-21.23772240,-20.68568235,3.02703503
79,-18.00294113,-20.65885494,3.02702024
80,-17.55037880,-20.62777018,3.02441859
81,-18.79777718,-20.60947025,3.03601593
82,-18.86747169,-20.59205026,3.05330824
83,-21.55581665,-20.60168792,3.05653704
84,-28.29403305,-20.67861138,3.07428586
85,-24.59828377,-20.71780810,3.06902851
86,-20.32379150,-20.71386793,3.08508662
87,-18.35234642,-20.69025272,3.09304731
88,-15.66783619,-20.64002855,3.13797580
89,-16.96448135,-20.60327308,3.18012982
90,-23.37839127,-20.63102426,3.22476644
91,-20.68087196,-20.63152274,3.27008829
92,-19.79479980,-20.62315551,3.31377490
93,-17.89926147,-20.59591657,3.33079630
94,-20.11231232,-20.59108053,3.33575052
95,-20.41330338,-20.58930276,3.34369204
96,-15.61590099,-20.53956874,3.28519105
97,-14.41444588,-20.47831751,3.28756076
98,-14.90522671,-20.42258660,3.31062813
99,-15.23146248,-20.37067536,3.33489541
100,-14.45936871,-20.31156229,3.34411485
101,-14.96813774,-20.25812805,3.37408650
102,-13.12996197,-20.18684639,3.40276321
103,-14.95248222,-20.13450275,3.44513627
104,-16.72649384,-20.10042266,3.51756792
105,-16.52961922,-20.06471462,3.61444425
106,-24.25941277,-20.10666160,3.65960842
107,-21.22739029,-20.11786889,3.69848166
108,-16.90812492,-20.08577145,3.76951022
109,-15.88775826,-20.04379132,3.82939139
110,-16.46467781,-20.00800018,3.92334967
111,-14.74089050,-19.95532909,3.95421466
112,-16.89058495,-19.92468165,4.02199212
113,-16.00141716,-19.88544900,4.12752308
114,-17.37762833,-19.86037079,4.21654521
115,-15.48257256,-19.81659281,4.23419393
116,-16.86573792,-19.78708426,4.29984626
117,-13.46602917,-19.72387371,4.37027086
118,-16.33797073,-19.69001468,4.37729519
119,-13.13866806,-19.62450122,4.30783921
120,-14.82531071,-19.57650931,4.31569991
121,-20.82513428,-19.58899556,4.32822066
122,-19.80318832,-19.59113749,4.35568868
123,-17.57841873,-19.57101030,4.37256655
124,-15.10817242,-19.52638192,4.31921137
125,-14.43484879,-19.47546659,4.31177994
126,-18.73505592,-19.46806248,4.33583711
127,-23.97777748,-19.51315963,4.35807668
128,-15.86660862,-19.47669412,4.23968134
129,-16.34372139,-19.44536440,4.22879289
130,-17.94611549,-19.43037191,4.25760177
131,-15.48878002,-19.39095599,4.28199860
132,-14.50909710,-19.34213740,4.29140381
133,-16.16539764,-19.31037000,4.31953124
134,-14.59211731,-19.26318748,4.29406420
135,-19.55803108,-19.26613591,4.13183646
136,-14.73644543,-19.22083901,4.02654938
137,-15.65760231,-19.18520664,4.01844263
138,-12.41930103,-19.11754758,4.03698554
139,-12.47171688,-19.05108928,4.06335818
140,-12.17563820,-18.98233477,4.06432078
141,-11.92235279,-18.91173495,3.98949432
142,-11.86117935,-18.84122939,3.96127971
143,-13.77250576,-18.79054215,3.95637047
144,-19.67470932,-18.79938383,3.95994122
145,-14.78871346,-18.75927712,3.93904614
146,-14.55964279,-18.71728078,3.90311200
147,-15.69024181,-18.68701039,3.91552221
148,-12.87630844,-18.62890337,3.93175824
149,-12.23651505,-18.56497949,3.94642441
150,-13.39965630,-18.51332625,3.94388717
151,-11.64274025,-18.44462039,3.94917123
152,-10.55388165,-18.36571301,3.94742142
153,-10.45354843,-18.28659136,3.94914580
154,-8.74063301,-18.19113178,3.94702359
155,-7.43039656,-18.08352442,3.93463976
156,-8.99782467,-17.99266743,3.91991915
157,-9.61024475,-17.90884320,3.78118193
158,-7.96693230,-17.80942409,3.68990142
159,-7.91865110,-17.71051636,3.68119444
160,-5.80086708,-17.59141987,3.68956048
