condition,condition_label,method,N,N_drop,drop_rate,no_drop_rate,crash_rate,crash_nodrop,timeout_nodrop,mean,median,p90,r1,r2,r3,overall_r2,overall_r3,roll_abs_mean,pitch_abs_mean,impact_mean,impact_p90
exp1_fixedH_fixedW_noObs/main,Exp1 fixedH fixedW noObs,PPO,2000,1988,0.994,0.006,0.006,12,0,2.272588530278969,1.2581143975257874,4.946097183227537,0.3868209255533199,0.7323943661971831,0.8470824949698189,0.728,0.842,14.423383252371952,9.572752600359825,0.5606368704168669,1.292532455921173
exp1_fixedH_fixedW_noObs/main,Exp1 fixedH fixedW noObs,Proposed,2000,1981,0.9905,0.0095,0.0095,19,0,2.358921215693306,1.0275559425354004,3.971195936203003,0.48914689550731955,0.7895002523977789,0.8697627460878344,0.782,0.8615,15.491519867386236,7.521356975049184,0.5362263240525663,1.2838709354400637
exp1_fixedH_fixedW_noObs/main,Exp1 fixedH fixedW noObs,PPO-GRU,2000,1991,0.9955,0.0045,0.0045,9,0,2.8898985057085516,1.2980316877365112,9.22884464263916,0.36464088397790057,0.7122049221496736,0.8352586639879458,0.709,0.8315,17.616567989640004,8.009669645842214,0.527798658909509,1.3569908142089844
exp1_fixedH_fixedW_noObs/main,Exp1 fixedH fixedW noObs,MPC,2000,1053,0.5265,0.4735,0.474,947,0,5.890899280876855,3.0492074489593506,15.983250236511234,0.02849002849002849,0.17568850902184235,0.4757834757834758,0.0925,0.2505,3.013028812025413,1.582220482229507,0.1660515400603173,0.14758729040622715
exp2_fixedH_fixedW_obs_ablation/no_obstacle,Exp2 noObstacle,PPO,2000,1983,0.9915,0.0085,0.0085,17,0,2.4210344332134595,1.3083003759384155,5.795555305480957,0.36359051941502774,0.6898638426626323,0.81089258698941,0.684,0.804,13.918641432255793,9.047483889165404,0.5720146538382579,1.303910779953003
exp2_fixedH_fixedW_obs_ablation/no_obstacle,Exp2 noObstacle,Proposed,2000,1972,0.986,0.014,0.014,28,0,2.391206222408759,1.042872428894043,4.07881774902344,0.473630831643002,0.7941176470588235,0.8706896551724138,0.783,0.8585,15.43304935269654,7.632758405106889,0.5421974642870997,1.318207061290741
exp2_fixedH_fixedW_obs_ablation/no_obstacle,Exp2 noObstacle,PPO-GRU,2000,1988,0.994,0.006,0.006,12,0,2.8152064245280397,1.278808355331421,8.660674953460685,0.3843058350100604,0.710261569416499,0.8340040241448692,0.706,0.829,17.46314932250138,7.7625763696142425,0.5248458016086632,1.3490137219429015
exp2_fixedH_fixedW_obs_ablation/no_obstacle,Exp2 noObstacle,MPC,2000,1109,0.5545,0.4455,0.4455,891,0,6.032220097384655,3.089862823486328,16.630315017700195,0.026149684400360685,0.16140667267808836,0.4670874661857529,0.0895,0.259,2.929063731157981,1.5599537039340217,0.14788946635665065,0.14586983919143673
exp2_fixedH_fixedW_obs_ablation/random_obstacle,Exp2 randomObstacle,PPO,2000,1985,0.9925,0.0075,0.0075,15,0,2.3037700826466385,1.311906337738037,4.922544002532959,0.3687657430730479,0.7037783375314861,0.8241813602015113,0.6985,0.818,14.179335266701338,8.58761612626817,0.5622031090128933,1.3066895484924317
exp2_fixedH_fixedW_obs_ablation/random_obstacle,Exp2 randomObstacle,Proposed,2000,1977,0.9885,0.0115,0.0115,23,0,2.3020299442077587,0.9617007374763488,4.139037609100345,0.5174506828528073,0.8017197774405666,0.8715225088517956,0.7925,0.8615,15.352506520207877,7.459565729794089,0.5318059454011115,1.2855012416839597
