method,wind_condition,wind_label,n_valid_drop,mean_final_error_m,median_final_error_m,p90_final_error_m,mean_fall_time_s,median_fall_time_s
PPO,weak_wind,Low Wind,2000,10.465261459350586,13.345069885253906,21.405377769470217,1.5372350215911865,1.6100000143051147
Proposed,weak_wind,Low Wind,1991,1.4930721521377563,0.7069428563117981,1.5622727870941162,1.6893571615219116,1.709999918937683
PPO-GRU,weak_wind,Low Wind,1967,1.5220017433166504,0.9221934676170349,2.6600438594818123,1.6431671380996704,1.6399999856948853
MPC,weak_wind,Low Wind,1742,2.3540453910827637,2.4443562030792236,2.744030070304871,1.6375716924667358,1.6299999952316284
PPO,medium_wind,Medium Wind,1990,11.141023635864258,13.692093849182129,21.601421546936038,1.533844232559204,1.559999942779541
Proposed,medium_wind,Medium Wind,1956,2.561157703399658,1.0678069591522217,5.754672527313232,1.6785019636154175,1.709999918937683
PPO-GRU,medium_wind,Medium Wind,1946,3.5386860370635986,1.4540512561798096,10.804237365722656,1.6897635459899902,1.6899999380111694
MPC,medium_wind,Medium Wind,1065,5.9408745765686035,2.9042036533355713,16.357392883300783,1.6623661518096924,1.6399999856948853
PPO,strong_wind,High Wind,1922,13.286918640136719,14.663858413696289,21.80526351928711,1.5194276571273804,1.4900000095367432
Proposed,strong_wind,High Wind,1756,5.476356506347656,2.838611125946045,14.454604625701904,1.6206263303756714,1.5899999141693115
PPO-GRU,strong_wind,High Wind,1772,7.481929302215576,5.635643005371094,16.396091270446778,1.600400686264038,1.6100000143051147
MPC,strong_wind,High Wind,442,7.052700042724609,2.7453103065490723,22.48910961151124,1.7507238388061523,1.5399999618530273
