method,metric,n,median,q1,q3,iqr
mpc,roll_deg,442,0.22403020477641822,-2.883951754389504,3.0715736357951693,5.955525390184674
mpc,pitch_deg,442,-0.005068000364149461,-1.4434648584338148,1.4038839121935909,2.8473487706274057
mpc,yaw_deg,442,4.511141871307492,-30.287927459287943,37.32515673851671,67.61308419780465
mpc,landing_error_xy_m,442,2.745310425758362,1.8967106342315674,8.669559955596924,6.7728493213653564
mpc,release_to_target_xy_m,442,3.3948302268981934,2.402163505554199,6.840060472488403,4.437896966934204
mpc,delta_theta_rad,442,0.006166974315419793,0.005512405536137521,0.008661444997414947,0.0031490394612774253
mpc,delta_theta_deg,442,0.3533416006391343,0.3158375721852298,0.49626424283657666,0.18042667065134688
mpc,delta_omega_rad_s,442,0.11147518828511238,0.10825419053435326,0.11734094098210335,0.009086750447750092
mpc,delta_omega_deg_s,442,6.387057809163137,6.202508232223508,6.723140682368199,0.5206324501446913
mpc,impulse_metric,442,0.13199152052402496,0.12736957892775536,0.14845016226172447,0.021080583333969116
ppo,roll_deg,1922,0.03383675714824317,-4.0079686653418225,4.613782539059859,8.621751204401681
ppo,pitch_deg,1922,0.29161492661369437,-1.4165265923472843,2.9328456635630404,4.349372255910325
ppo,yaw_deg,1922,0.0,-36.325923968605935,27.462862180827702,63.78878614943363
ppo,landing_error_xy_m,1922,14.663858413696289,7.223034858703613,18.75473403930664,11.531699180603027
ppo,release_to_target_xy_m,1922,14.828726291656494,6.686429381370544,18.86510467529297,12.178675293922424
ppo,delta_theta_rad,1922,0.017267687246203423,0.00913622765801847,0.06614981777966022,0.057013590121641755
ppo,delta_theta_deg,1922,0.989365601159335,0.5234672854751508,3.790105374333985,3.2666380888588344
ppo,delta_omega_rad_s,1922,0.217354916036129,0.1364736072719097,0.3840365782380104,0.2475629709661007
ppo,delta_omega_deg_s,1922,12.453519345290568,7.819361711606327,22.003675111683634,14.184313400077308
ppo,impulse_metric,1922,0.34637323021888733,0.25909148156642914,0.5093046128749847,0.2502131313085556
ppo_gru,roll_deg,1758,0.005259245660909818,-11.274210772346526,13.42426553060733,24.698476302953857
ppo_gru,pitch_deg,1758,2.430550136905717,-2.7150275158367485,10.468682167297318,13.183709683134067
ppo_gru,yaw_deg,1758,-5.633307800994737,-53.75367073027039,57.978006128139874,111.73167685841027
ppo_gru,landing_error_xy_m,1758,2.845120072364807,1.3293765187263489,7.974263072013855,6.644886553287506
ppo_gru,release_to_target_xy_m,1758,3.3056042194366455,1.7522985935211182,7.9495179653167725,6.197219371795654
ppo_gru,delta_theta_rad,1758,0.07095178589224815,0.03275645524263382,0.23059197142720222,0.1978355161845684
ppo_gru,delta_theta_deg,1758,4.065237880541675,1.876806637212097,13.211946752379957,11.33514011516786
ppo_gru,delta_omega_rad_s,1758,0.2759775221347809,0.14065788313746452,0.7928448170423508,0.6521869339048862
ppo_gru,delta_omega_deg_s,1758,15.812347258801202,8.059103059021067,45.42666182534862,37.36755876632755
ppo_gru,impulse_metric,1758,0.49639782309532166,0.2681575044989586,1.2693651914596558,1.0012076869606972
ppo_rnn,roll_deg,1774,4.4095632979710615,-6.975098463443741,16.574376096573893,23.549474560017636
ppo_rnn,pitch_deg,1774,0.9188653490418154,-5.352149894000332,12.100151397730318,17.45230129173065
ppo_rnn,yaw_deg,1774,15.833430345221739,-48.492731182446406,93.16178586373627,141.65451704618266
ppo_rnn,landing_error_xy_m,1774,5.64043402671814,1.958450436592102,12.103150844573975,10.144700407981873
ppo_rnn,release_to_target_xy_m,1774,5.3566670417785645,2.5944440960884094,12.182887077331543,9.588442981243134
ppo_rnn,delta_theta_rad,1774,0.08197670429944992,0.03729172516614199,0.21551185101270676,0.17822012584656477
ppo_rnn,delta_theta_deg,1774,4.69691917475043,2.1366584627817344,12.347919498080294,10.211261035298559
ppo_rnn,delta_omega_rad_s,1774,0.33746178448200226,0.1268412582576275,0.727858155965805,0.6010168977081776
ppo_rnn,delta_omega_deg_s,1774,19.335135997772106,7.267468766290957,41.70320042101545,34.43573165472449
ppo_rnn,impulse_metric,1774,0.5772609114646912,0.3082107603549957,1.182747721672058,0.8745369613170624
