method,metric,n,mean,std,min,max
mpc,roll_deg,1030,-0.1417528839717339,5.9543181056096515,-88.784112719,110.84398449274039
mpc,pitch_deg,1030,0.1463686197128025,3.3766756231472463,-57.24339196214832,58.42528789612733
mpc,yaw_deg,1030,4.684761115583196,39.79166606488415,-88.4889939053421,128.51849232873906
mpc,landing_error_xy_m,1030,5.882324290507048,5.849665436552443,0.5399154424667358,28.10260772705078
mpc,release_to_target_xy_m,1030,5.466740739229813,5.063984225380526,1.5152994394302368,26.164562225341797
mpc,delta_theta_rad,1030,0.010700612416427618,0.035276178997685294,0.0010728862835094333,0.8269774317741394
mpc,delta_theta_deg,1030,0.6130999296665879,2.0211761739154017,0.06147185594256682,47.38231659322617
mpc,delta_omega_rad_s,1030,0.12112944798128118,0.05738236195361019,0.041393544524908066,0.8700533509254456
mpc,delta_omega_deg_s,1030,6.940206144076861,3.2877671584339336,2.3716754003640883,49.85038495924277
mpc,impulse_metric,1030,0.14702843699640442,0.09939728684823128,0.10664984583854675,1.5219669342041016
ppo,roll_deg,1985,1.0730019837374978,22.206728693755004,-164.85488014715347,172.90029657429488
ppo,pitch_deg,1985,4.721050276314409,14.973456824180502,-61.17610560321495,87.79089393065344
ppo,yaw_deg,1985,-6.939395340760511,50.85610717765381,-176.25927432508044,165.890883240461
ppo,landing_error_xy_m,1985,2.3037700826466385,3.1891961530690507,0.05953899398446083,24.593276977539062
ppo,release_to_target_xy_m,1985,2.558718261528075,3.346593983359287,0.028720516711473465,23.844661712646484
ppo,delta_theta_rad,1985,0.1276653779509902,0.29463251744604174,0.0018359154928475618,5.177379608154297
ppo,delta_theta_deg,1985,7.314687346534255,16.88119975697279,0.10519020928284577,296.64200048433713
ppo,delta_omega_rad_s,1985,0.36217633159995377,0.3351759961608301,0.007281729951500893,1.4371505975723267
ppo,delta_omega_deg_s,1985,20.751175240207942,19.20416997410865,0.4172123937750028,82.34266376559853
ppo,impulse_metric,1985,0.5622031090128933,0.43734029062424845,0.08576767146587372,1.7993324995040894
ppo_gru,roll_deg,1977,-3.8730676546658187,27.033370496906958,-176.069914160531,158.23227408639573
ppo_gru,pitch_deg,1977,5.612153603046008,11.346723509494764,-78.85110521283386,84.99934097535586
ppo_gru,yaw_deg,1977,1.4968572590596967,51.188114876401436,-178.57689411424914,178.358819834429
ppo_gru,landing_error_xy_m,1977,2.3020299442077587,4.171831377141526,0.013654959388077259,24.7841796875
ppo_gru,release_to_target_xy_m,1977,3.0060737594881095,4.31377899589705,0.025215482339262962,23.951753616333008
ppo_gru,delta_theta_rad,1977,0.10862655533639244,0.3249338158746032,0.0019115335308015347,5.60787296295166
ppo_gru,delta_theta_deg,1977,6.223843163819578,18.617336270695752,0.10952280371266848,321.307452822654
ppo_gru,delta_omega_rad_s,1977,0.33623054412089487,0.30883968704119885,0.005050339736044407,1.9819483757019043
ppo_gru,delta_omega_deg_s,1977,19.26459112151449,17.69521061360188,0.28936315198255874,113.55727714052796
ppo_gru,impulse_metric,1977,0.5318059454011115,0.42235364095539085,0.05154864117503166,2.3351540565490723
ppo_rnn,roll_deg,1990,7.827654729727329,27.768243620080835,-178.69355374527296,172.67391678444397
ppo_rnn,pitch_deg,1990,3.889058847373351,11.28920134824318,-66.35803352272022,83.08519412083812
ppo_rnn,yaw_deg,1990,18.187427866064702,72.40996124182368,-178.25205031732335,178.14134661125578
ppo_rnn,landing_error_xy_m,1990,2.7370645181617546,4.317262702558922,0.04251689836382866,26.447484970092773
ppo_rnn,release_to_target_xy_m,1990,3.350052729438073,4.229868446736675,0.01674521341919899,24.050085067749023
ppo_rnn,delta_theta_rad,1990,0.0967543622745311,0.37368448000920224,0.000805858348030597,5.931770324707031
ppo_rnn,delta_theta_deg,1990,5.543616607810423,21.41054357406807,0.046172282227537845,339.8654046466588
ppo_rnn,delta_omega_rad_s,1990,0.2886813588314058,0.3672249647053786,0.01125158742070198,11.321395874023438
ppo_rnn,delta_omega_deg_s,1990,16.54022348514123,21.04044060945881,0.6446684720287114,648.6682017783668
ppo_rnn,impulse_metric,1990,0.46538055803832695,0.6343997086400641,0.07025544345378876,22.18526268005371
