method,wind_condition,wind_label,n_valid_drop,mean_final_error_m,median_final_error_m,p90_final_error_m,mean_fall_time_s,median_fall_time_s
PPO,weak_wind,Low Wind,2000,1.0306999683380127,0.7222425937652588,1.8062027096748352,1.7748498916625977,1.7699999809265137
Proposed,weak_wind,Low Wind,2000,1.291195273399353,0.6319419145584106,1.3810599446296692,1.8399399518966675,1.8299999237060547
PPO-GRU,weak_wind,Low Wind,1992,1.5533852577209473,0.7261373996734619,1.8307129263877873,1.9167571067810059,1.899999976158142
MPC,weak_wind,Low Wind,1656,2.4271905422210693,2.5275774002075195,2.9040457010269165,1.8209236860275269,1.8199999332427979
PPO,medium_wind,Medium Wind,1988,2.2679836750030518,1.3158471584320068,4.508075809478759,1.7721830606460571,1.71999990940094
Proposed,medium_wind,Medium Wind,1984,2.121997356414795,0.9746674299240112,3.8048004865646368,1.8228780031204224,1.809999942779541
PPO-GRU,medium_wind,Medium Wind,1983,2.6672353744506836,1.1829228401184082,8.118908214569084,1.8910034894943237,1.909999966621399
MPC,medium_wind,Medium Wind,1035,5.68125057220459,3.060920000076294,15.400204086303711,1.850299596786499,1.8399999141693115
PPO,strong_wind,High Wind,1827,6.853025436401367,5.221320152282715,14.850129699707031,1.742714762687683,1.6299999952316284
Proposed,strong_wind,High Wind,1761,5.538575649261475,3.029973030090332,14.482108116149902,1.7677910327911377,1.709999918937683
PPO-GRU,strong_wind,High Wind,1736,5.817032814025879,3.0373282432556152,15.859631061553955,1.7935194969177246,1.7799999713897705
MPC,strong_wind,High Wind,420,7.171569347381592,2.7009072303771973,24.170054626464843,1.9219285249710083,1.899999976158142
