method,metric,n,mean,std,min,max
mpc,roll_deg,1656,-0.023146075767565034,1.9473120808871702,-10.857500931084049,14.476886474165505
mpc,pitch_deg,1656,0.9260110797530494,1.5807389787873884,-2.3181798646806677,14.89632839109599
mpc,yaw_deg,1656,11.48189888338651,35.850927877864905,-81.27718840602239,80.6917045903689
mpc,landing_error_xy_m,1656,2.427190497805531,0.42244753220477793,1.3260042667388916,3.0131208896636963
mpc,release_to_target_xy_m,1656,2.644430200834781,0.33684957365385726,2.1555325984954834,3.9702236652374268
mpc,delta_theta_rad,1656,0.007207835864251511,0.00904610908467963,0.0006964702624827623,0.11281995475292206
mpc,delta_theta_deg,1656,0.41297857444464176,0.518303871567095,0.03990480659663092,6.464107252199346
mpc,delta_omega_rad_s,1656,0.11590544355736263,0.03292662052585053,0.06263364851474762,0.5495191812515259
mpc,delta_omega_deg_s,1656,6.640892738428657,1.8865563897600628,3.5886437154008757,31.485129847196948
mpc,impulse_metric,1656,0.13580931834246657,0.046707242181392605,0.11233104765415192,0.7032825946807861
ppo,roll_deg,2000,0.5960363144871901,10.012097130661479,-85.7332038205387,84.25998665808032
ppo,pitch_deg,2000,2.6108460325397083,6.201434311269247,-38.89750385149408,73.02571883200002
ppo,yaw_deg,2000,-6.216130158306054,29.013173787389906,-112.3644392434986,97.10945761908523
ppo,landing_error_xy_m,2000,1.0306998829180374,1.619057302345948,0.01942904107272625,21.157806396484375
ppo,release_to_target_xy_m,2000,1.2578210630435496,1.7109141708875004,0.017370976507663727,22.518184661865234
ppo,delta_theta_rad,2000,0.04847091005835682,0.057483878634793914,0.001805606298148632,1.183388352394104
ppo,delta_theta_deg,2000,2.7771785755020564,3.2935836358159354,0.10345362034615681,67.80315811712235
ppo,delta_omega_rad_s,2000,0.1776473582435865,0.15069750087017636,0.007088800426572561,1.2364975214004517
ppo,delta_omega_deg_s,2000,10.178443869006077,8.634330783030157,0.4061583462531454,70.84608935463307
ppo,impulse_metric,2000,0.30091061935201285,0.19887588672056797,0.08525721728801727,1.633491039276123
ppo_gru,roll_deg,2000,0.5238826263970932,8.071573905217035,-61.78339138269912,24.428417453360723
ppo_gru,pitch_deg,2000,3.817552198376868,4.549090311141097,-6.29373245222161,48.06626783104915
ppo_gru,yaw_deg,2000,-4.393098088787992,29.19259313979978,-75.61578120678223,79.09316711701912
ppo_gru,landing_error_xy_m,2000,1.2911954228966498,3.033875585167,0.004773994907736778,22.018918991088867
ppo_gru,release_to_target_xy_m,2000,1.914785881407559,3.2022163724473183,0.022181294858455658,23.27606964111328
ppo_gru,delta_theta_rad,2000,0.03827922829851741,0.02510071168070101,0.0017113067442551255,0.38101014494895935
ppo_gru,delta_theta_deg,2000,2.193238224522795,1.438164842078895,0.09805065389809244,21.83027325724311
ppo_gru,delta_omega_rad_s,2000,0.16921025873161852,0.10949936464491206,0.012369443662464619,1.2626852989196777
ppo_gru,delta_omega_deg_s,2000,9.695033675638427,6.273851453517484,0.7087169167840662,72.3465384813123
ppo_gru,impulse_metric,2000,0.2833715031184256,0.1488856763871281,0.06906308978796005,1.6222000122070312
ppo_rnn,roll_deg,1992,3.1001123262976717,9.015228983855982,-81.92299645242544,124.9698538850806
ppo_rnn,pitch_deg,1992,1.5980697288287922,5.7468276991936555,-22.649084872680703,73.70562318273977
ppo_rnn,yaw_deg,1992,18.584615991033985,45.89622940437982,-148.62607747163636,125.593258911006
ppo_rnn,landing_error_xy_m,1992,1.5533853372700146,3.0581270353485097,0.00691805686801672,20.526203155517578
ppo_rnn,release_to_target_xy_m,1992,2.2487171047700154,3.0980834312442984,0.0018563118064776063,20.931169509887695
ppo_rnn,delta_theta_rad,1992,0.03477845370567761,0.05224207364821381,0.0005086825112812221,1.7009150981903076
ppo_rnn,delta_theta_deg,1992,1.992658615326445,2.9932503330542666,0.029145361008529914,97.45525643638463
ppo_rnn,delta_omega_rad_s,1992,0.16696347024859337,0.13775954059945375,0.004529423546046019,1.0140818357467651
ppo_rnn,delta_omega_deg_s,1992,9.566302178102486,7.893040264009815,0.25951685281561615,58.10260926916842
ppo_rnn,impulse_metric,1992,0.27137033444975156,0.18398952265425716,0.06528713554143906,1.5549370050430298
