method,metric,n,median,q1,q3,iqr
mpc,roll_deg,1656,-0.011379095157241243,-1.6046026813327554,1.5262433360797842,3.13084601741254
mpc,pitch_deg,1656,0.8593197598576443,-0.002609132262944871,1.653609288627597,1.656218420890542
mpc,yaw_deg,1656,13.941747982884177,-13.61617335571718,39.21402506291622,52.8301984186334
mpc,landing_error_xy_m,1656,2.527577519416809,2.1323779225349426,2.7789862751960754,0.6466083526611328
mpc,release_to_target_xy_m,1656,2.5479525327682495,2.354278802871704,2.900183141231537,0.5459043383598328
mpc,delta_theta_rad,1656,0.005813122959807515,0.005433555459603667,0.0062748308992013335,0.0008412754395976663
mpc,delta_theta_deg,1656,0.3330674113875679,0.31131979558555645,0.35952132768251566,0.04820153209695921
mpc,delta_omega_rad_s,1656,0.11046979576349258,0.10863316059112549,0.11331499554216862,0.004681834951043129
mpc,delta_omega_deg_s,1656,6.329453060920306,6.22422161703839,6.492471000109999,0.26824938307160906
mpc,impulse_metric,1656,0.12817025184631348,0.1262276992201805,0.1308656446635723,0.0046379454433918
ppo,roll_deg,2000,-1.2473154858493887,-6.963978915474961,8.533976443377846,15.497955358852806
ppo,pitch_deg,2000,1.9249863647305436,-0.00938467991959752,3.8517007673211006,3.861085447240698
ppo,yaw_deg,2000,-4.720056867450672,-24.66623097988223,14.228243682714947,38.894474662597176
ppo,landing_error_xy_m,2000,0.7222426235675812,0.42343056946992874,1.1811801195144653,0.7577495500445366
ppo,release_to_target_xy_m,2000,0.9737994372844696,0.5597716569900513,1.5259588956832886,0.9661872386932373
ppo,delta_theta_rad,2000,0.03933100588619709,0.027279924601316452,0.05214234907180071,0.024862424470484257
ppo,delta_theta_deg,2000,2.2535006412832916,1.5630245450905376,2.9875365357120662,1.4245119906215287
ppo,delta_omega_rad_s,2000,0.14616350084543228,0.09170176647603512,0.20532698184251785,0.11362521536648273
ppo,delta_omega_deg_s,2000,8.37455171730011,5.254124192971072,11.76436947973556,6.510245286764488
ppo,impulse_metric,2000,0.24822846055030823,0.19130197167396545,0.3341113328933716,0.14280936121940613
ppo_gru,roll_deg,2000,-0.06929909931894937,-5.07280881732515,5.852966684702347,10.925775502027497
ppo_gru,pitch_deg,2000,2.527805200497529,0.7103465038704961,6.3721908352175465,5.661844331347051
ppo_gru,yaw_deg,2000,-4.936382618843315,-25.120711767254875,15.978172299018064,41.09888406627294
ppo_gru,landing_error_xy_m,2000,0.631941944360733,0.4234515056014061,0.920713260769844,0.49726175516843796
ppo_gru,release_to_target_xy_m,2000,1.3009689450263977,0.7918681502342224,1.8142988979816437,1.0224307477474213
ppo_gru,delta_theta_rad,2000,0.033719027414917946,0.02292399713769555,0.04995512217283249,0.027031125035136938
ppo_gru,delta_theta_deg,2000,1.9319579601607169,1.3134482855599345,2.8622176655637004,1.5487693800037658
ppo_gru,delta_omega_rad_s,2000,0.15544362366199493,0.10946001298725605,0.2024340033531189,0.09297399036586285
ppo_gru,delta_omega_deg_s,2000,8.906263588052209,6.27159676961695,11.598614022070867,5.327017252453917
ppo_gru,impulse_metric,2000,0.24927987158298492,0.18654176965355873,0.33972080051898956,0.15317903086543083
ppo_rnn,roll_deg,1992,2.936366626080182,-2.1326992475798017,7.075170980068183,9.207870227647984
ppo_rnn,pitch_deg,1992,1.0843198514962042,-1.7980199782491766,4.180434356979229,5.978454335228406
ppo_rnn,yaw_deg,1992,18.489786536088076,-10.678604616343076,48.873394700364145,59.551999316707224
ppo_rnn,landing_error_xy_m,1992,0.7261373996734619,0.4948720708489418,1.0451973974704742,0.5503253266215324
ppo_rnn,release_to_target_xy_m,1992,1.4674502611160278,0.8788985013961792,2.2526344656944275,1.3737359642982483
ppo_rnn,delta_theta_rad,1992,0.026853878051042557,0.012920862063765526,0.04315876588225365,0.03023790381848812
ppo_rnn,delta_theta_deg,1992,1.538613875883735,0.7403108639244593,2.4728151340463445,1.7325042701218851
ppo_rnn,delta_omega_rad_s,1992,0.13402804732322693,0.08131550811231136,0.20515547320246696,0.1238399650901556
ppo_rnn,delta_omega_deg_s,1992,7.679241448000573,4.659035423797249,11.754542758510617,7.095507334713368
ppo_rnn,impulse_metric,1992,0.22101931273937225,0.173420712351799,0.2933931276202202,0.11997241526842117
