method,metric,n,median,q1,q3,iqr
mpc,roll_deg,1060,-0.37643904591608274,-2.943511003952015,2.379385189833152,5.3228961937851675
mpc,pitch_deg,1060,-0.006707245764952521,-1.0342409045016707,1.070714114669539,2.10495501917121
mpc,yaw_deg,1060,4.075758292854198,-28.271723918191878,33.73120681990438,62.00293073809625
mpc,landing_error_xy_m,1060,3.094426155090332,2.2689894437789917,8.104698657989502,5.83570921421051
mpc,release_to_target_xy_m,1060,3.072466254234314,2.25239235162735,6.577678203582764,4.325285851955414
mpc,delta_theta_rad,1060,0.005820752587169409,0.005418242770247161,0.006475491099990904,0.001057248329743743
mpc,delta_theta_deg,1060,0.33350455683466196,0.31044244311243374,0.3710183103040058,0.06057586719157204
mpc,delta_omega_rad_s,1060,0.1106606088578701,0.1083309967070818,0.11395390145480633,0.005622904747724533
mpc,delta_omega_deg_s,1060,6.34038584590397,6.206908901761405,6.529077612410094,0.3221687106486888
mpc,impulse_metric,1060,0.12876801937818527,0.1264149285852909,0.13301659002900124,0.006601661443710327
ppo,roll_deg,1981,0.9226082927069824,-7.951173476973584,11.649871176697228,19.60104465367081
ppo,pitch_deg,1981,1.3163003964665174,-2.1915208367119514,6.5936050775418495,8.7851259142538
ppo,yaw_deg,1981,-5.607435044418728,-48.96356344269207,34.92492922643126,83.88849266912334
ppo,landing_error_xy_m,1981,1.3079020977020264,0.7880438566207886,2.211500883102417,1.4234570264816284
ppo,release_to_target_xy_m,1981,1.5664724111557007,0.8530622720718384,2.7260377407073975,1.872975468635559
ppo,delta_theta_rad,1981,0.060981620103120804,0.037413131445646286,0.1564268171787262,0.11901368573307991
ppo,delta_theta_deg,1981,3.493989459778958,2.1436145302037164,8.962596427005534,6.818981896801818
ppo,delta_omega_rad_s,1981,0.20345620810985565,0.1171371340751648,0.5910066366195679,0.4738695025444031
ppo,delta_omega_deg_s,1981,11.657182040430081,6.711463406765004,33.862185942523126,27.15072253575812
ppo,impulse_metric,1981,0.35034728050231934,0.22618499398231506,0.8896491527557373,0.6634641587734222
ppo_gru,roll_deg,1992,1.5060772025553217,-1.8134425453950653,7.129853474563305,8.943296019958371
ppo_gru,pitch_deg,1992,3.761371515547682,1.3161706228722871,7.165162137477687,5.8489915146054
ppo_gru,yaw_deg,1992,8.04505442711541,-39.59434707137546,51.01557766560651,90.60992473698197
ppo_gru,landing_error_xy_m,1992,0.7717270851135254,0.453143872320652,1.39373779296875,0.940593920648098
ppo_gru,release_to_target_xy_m,1992,1.9131903052330017,1.1046229600906372,3.224669098854065,2.1200461387634277
ppo_gru,delta_theta_rad,1992,0.0242071021348238,0.013838724233210087,0.04623418767005205,0.032395463436841965
ppo_gru,delta_theta_deg,1992,1.3869647865675288,0.7929004924083544,2.6490238227097715,1.856123330301417
ppo_gru,delta_omega_rad_s,1992,0.15097163617610931,0.10637200437486172,0.26843855530023575,0.16206655092537403
ppo_gru,delta_omega_deg_s,1992,8.650037579075642,6.094666909026705,15.380396277292665,9.28572936826596
ppo_gru,impulse_metric,1992,0.232147678732872,0.1708693876862526,0.40829356014728546,0.23742417246103287
ppo_rnn,roll_deg,1990,4.651188070049433,-0.6072994398625138,10.939913993609423,11.547213433471937
ppo_rnn,pitch_deg,1990,1.949342819310809,-1.9880358409589314,6.821279188240469,8.8093150291994
ppo_rnn,yaw_deg,1990,20.61834668903085,-40.66306677080735,91.47550778030852,132.13857455111588
ppo_rnn,landing_error_xy_m,1990,1.0735288858413696,0.6188934445381165,1.779325932264328,1.1604324877262115
ppo_rnn,release_to_target_xy_m,1990,1.8478806018829346,1.0843862891197205,2.8987079858779907,1.8143216967582703
ppo_rnn,delta_theta_rad,1990,0.031018135137856007,0.014834406785666943,0.061268788762390614,0.04643438197672367
ppo_rnn,delta_theta_deg,1990,1.7772082317655893,0.8499489003989453,3.510443011963549,2.6604941115646037
ppo_rnn,delta_omega_rad_s,1990,0.1614890769124031,0.09873398207128048,0.2898750603199005,0.19114107824862003
ppo_rnn,delta_omega_deg_s,1990,9.25264254454424,5.65704046720471,16.60861754243046,10.95157707522575
ppo_rnn,impulse_metric,1990,0.2558009773492813,0.1801854632794857,0.43831200152635574,0.25812653824687004
