method,wind_condition,wind_label,n_valid_drop,mean_final_error_m,median_final_error_m,p90_final_error_m,mean_fall_time_s,median_fall_time_s
PPO,weak_wind,Weak Wind,2000,0.9716266989707947,0.7117563486099243,1.7675367236137394,1.774459958076477,1.7699999809265137
PPO-GRU,weak_wind,Weak Wind,2000,2.464268445968628,0.49711906909942627,12.872750186920168,1.875939965248108,1.8600000143051147
PPO-RNN,weak_wind,Weak Wind,1999,0.7683946490287781,0.6863968968391418,1.1477932691574098,1.886243224143982,1.8799999952316284
MPC,weak_wind,Weak Wind,1655,2.437944173812866,2.545483350753784,2.903201103210449,1.8214985132217407,1.8199999332427979
PPO,medium_wind,Medium Wind,1981,2.322744846343994,1.3079020977020264,4.887887001037598,1.767642617225647,1.71999990940094
PPO-GRU,medium_wind,Medium Wind,1992,3.0939695835113525,0.7717270851135254,13.414294433593751,1.8819025754928589,1.8499999046325684
PPO-RNN,medium_wind,Medium Wind,1990,1.9663169384002686,1.0735288858413696,2.9129991769790653,1.9038240909576416,1.909999966621399
MPC,medium_wind,Medium Wind,1060,5.900872230529785,3.094426155090332,15.60441722869873,1.8527641296386719,1.84499990940094
PPO,strong_wind,Strong Wind,1830,6.832315444946289,5.094307899475098,15.081891345977787,1.7402458190917969,1.6200000047683716
PPO-GRU,strong_wind,Strong Wind,1731,5.810451984405518,2.5018532276153564,16.510915756225586,1.8116176128387451,1.7300000190734863
PPO-RNN,strong_wind,Strong Wind,1703,6.007258415222168,2.9967668056488037,16.43674621582031,1.8404990434646606,1.8399999141693115
MPC,strong_wind,Strong Wind,435,6.750234603881836,2.655402421951294,21.586795425415044,1.9224824905395508,1.8899999856948853
