Wall time,Step,Value
1768730695.0036113,0,-41.365440368652344
1768730698.425441,4096,-54.324562072753906
1768730701.904069,8192,-61.721961975097656
1768730705.4167724,12288,-65.28335571289062
1768730708.8278842,16384,-65.64308166503906
1768730712.3024738,20480,-64.99163055419922
1768730715.6848824,24576,-63.97027587890625
1768730719.0097759,28672,-62.23067855834961
1768730722.3571863,32768,-63.41727828979492
1768730725.748185,36864,-61.7640380859375
1768730729.2328672,40960,-61.088523864746094
1768730732.6256993,45056,-57.51784896850586
1768730735.9626489,49152,-58.90266036987305
1768730739.3474216,53248,-58.278831481933594
1768730742.7304568,57344,-53.89006042480469
1768730746.1754067,61440,-53.27168655395508
1768730749.606215,65536,-50.53501510620117
1768730752.9597955,69632,-48.02548599243164
1768730756.3336549,73728,-47.11717224121094
1768730759.7603524,77824,-46.72822570800781
1768730763.1526775,81920,-41.9373664855957
1768730766.5441911,86016,-40.9630126953125
1768730769.9227753,90112,-39.18568801879883
1768730773.3647249,94208,-37.71354293823242
1768730776.7735257,98304,-37.67472839355469
1768730780.143479,102400,-34.661380767822266
1768730783.5318525,106496,-34.045372009277344
1768730786.909571,110592,-31.027006149291992
1768730790.3192742,114688,-32.4707145690918
1768730793.7038276,118784,-32.795188903808594
1768730797.0455518,122880,-34.1880989074707
1768730800.4896498,126976,-33.0894889831543
1768730803.900772,131072,-32.81760025024414
1768730807.373337,135168,-28.569923400878906
1768730810.7616398,139264,-27.51272964477539
1768730814.1140406,143360,-26.636510848999023
1768730817.5226774,147456,-24.09054946899414
1768730820.8926144,151552,-21.287954330444336
1768730824.3752596,155648,-20.968059539794922
1768730827.7840939,159744,-22.354843139648438
1768730831.1767228,163840,-26.06785774230957
1768730834.560152,167936,-23.195087432861328
1768730837.9930508,172032,-21.747501373291016
1768730841.3566618,176128,-19.905752182006836
1768730844.6905358,180224,-19.09311294555664
1768730848.1159225,184320,-20.249645233154297
1768730851.5334632,188416,-21.804378509521484
1768730854.9231927,192512,-20.626277923583984
1768730858.3492088,196608,-20.14579963684082
1768730861.877888,200704,-21.306364059448242
1768730865.3059142,204800,-21.383235931396484
1768730868.7826724,208896,-23.56019401550293
1768730872.2514136,212992,-22.89610481262207
1768730875.6239219,217088,-22.75100326538086
1768730879.024332,221184,-22.941913604736328
1768730882.403688,225280,-23.6661319732666
1768730885.7490892,229376,-26.677473068237305
1768730889.1482923,233472,-23.70983123779297
1768730892.6102953,237568,-26.427635192871094
1768730895.9721987,241664,-25.61307716369629
1768730899.348892,245760,-23.43327522277832
1768730902.795735,249856,-21.295095443725586
1768730906.21645,253952,-22.32468605041504
1768730909.6021113,258048,-20.87793731689453
1768730913.077023,262144,-21.7781982421875
1768730916.4394617,266240,-24.74393653869629
1768730919.88843,270336,-22.78516387939453
1768730923.5313714,274432,-22.35239601135254
1768730926.9500933,278528,-21.862133026123047
1768730930.293055,282624,-21.110219955444336
1768730933.7323601,286720,-20.72130012512207
1768730937.1709032,290816,-19.896329879760742
1768730940.5870216,294912,-20.002981185913086
1768730943.9328868,299008,-21.455533981323242
1768730947.3113866,303104,-21.415790557861328
1768730950.7504983,307200,-21.902565002441406
1768730954.1993973,311296,-20.3992977142334
1768730957.6658988,315392,-19.74567222595215
1768730961.0820272,319488,-17.577119827270508
1768730964.5140781,323584,-16.938175201416016
1768730967.9020073,327680,-15.189464569091797
1768730971.3335173,331776,-18.543960571289062
1768730974.6667316,335872,-16.5654354095459
1768730978.1630077,339968,-16.10535430908203
1768730981.5617325,344064,-18.830623626708984
1768730984.9392102,348160,-17.000286102294922
1768730988.314787,352256,-14.99233627319336
1768730991.7214918,356352,-15.724428176879883
1768730995.0861537,360448,-16.421998977661133
1768730998.5149767,364544,-13.970186233520508
1768731001.928333,368640,-16.80931282043457
1768731005.4525506,372736,-20.744550704956055
1768731008.8952775,376832,-19.006175994873047
1768731012.3351367,380928,-19.72443389892578
1768731015.7340903,385024,-18.779521942138672
1768731019.1640158,389120,-17.83778953552246
1768731022.573697,393216,-17.468345642089844
1768731025.9994853,397312,-20.717084884643555
1768731029.4443307,401408,-18.908842086791992
1768731032.8431747,405504,-16.312349319458008
1768731036.2687495,409600,-17.895488739013672
1768731039.5853136,413696,-17.298913955688477
1768731043.0898457,417792,-19.706436157226562
1768731046.4858143,421888,-18.812788009643555
1768731049.901761,425984,-19.425018310546875
1768731053.3278491,430080,-22.025882720947266
1768731056.7481835,434176,-19.659744262695312
1768731060.1533477,438272,-16.11404800415039
1768731063.6446123,442368,-17.274513244628906
1768731067.0530684,446464,-17.56851577758789
1768731070.457308,450560,-19.047039031982422
1768731073.885414,454656,-18.48504066467285
1768731077.2362452,458752,-18.395952224731445
1768731080.6546795,462848,-17.814573287963867
1768731084.035845,466944,-18.73607063293457
1768731087.3938358,471040,-20.631437301635742
1768731090.9114637,475136,-20.99658203125
1768731094.2968788,479232,-22.552772521972656
1768731097.7387462,483328,-22.09246063232422
1768731101.1137419,487424,-18.99237823486328
1768731104.5888708,491520,-21.45918083190918
1768731108.0267985,495616,-19.743682861328125
1768731111.5712824,499712,-20.54509162902832
1768731115.0135283,503808,-20.25886344909668
1768731118.4618914,507904,-19.651901245117188
1768731121.8762448,512000,-19.194229125976562
1768731125.2887263,516096,-19.658119201660156
1768731128.7323768,520192,-18.25812530517578
1768731132.1546571,524288,-19.140731811523438
1768731135.5588827,528384,-18.211891174316406
1768731138.9921913,532480,-19.4406681060791
1768731142.556087,536576,-21.804941177368164
1768731146.2220278,540672,-21.157962799072266
1768731149.5786893,544768,-23.42513656616211
1768731153.0513015,548864,-21.4302978515625
1768731156.497362,552960,-22.409902572631836
1768731159.907378,557056,-21.880746841430664
1768731163.356624,561152,-21.81401252746582
1768731166.7871668,565248,-18.279945373535156
1768731170.2098181,569344,-17.911130905151367
1768731173.565117,573440,-17.788480758666992
1768731177.0059326,577536,-19.166807174682617
1768731180.4161243,581632,-18.87270164489746
1768731183.8568332,585728,-19.414039611816406
1768731187.1918263,589824,-18.565534591674805
1768731190.6472592,593920,-19.932336807250977
1768731194.1553097,598016,-18.72484016418457
1768731197.600633,602112,-19.23433494567871
1768731200.9753287,606208,-19.663694381713867
1768731204.384787,610304,-20.061473846435547
1768731207.7387774,614400,-20.51349639892578
1768731211.1553888,618496,-20.79724884033203
1768731214.572545,622592,-19.76660919189453
1768731218.0235105,626688,-21.156597137451172
1768731221.4277275,630784,-23.95265007019043
1768731224.8762522,634880,-21.750211715698242
1768731228.2388387,638976,-22.402103424072266
1768731231.6727495,643072,-20.740428924560547
1768731235.027922,647168,-18.950031280517578
1768731238.5402644,651264,-19.077295303344727
1768731242.0166023,655360,-19.842838287353516
1768731245.4506884,659456,-23.154027938842773
1768731248.9256585,663552,-22.074918746948242
1768731252.256335,667648,-19.129566192626953
1768731255.7037349,671744,-19.984771728515625
1768731259.0854626,675840,-18.132183074951172
1768731262.4672136,679936,-16.814334869384766
1768731265.8639026,684032,-16.463756561279297
1768731269.2855713,688128,-16.851215362548828
1768731272.7328572,692224,-17.221715927124023
1768731276.158976,696320,-17.53302574157715
1768731279.603921,700416,-17.688037872314453
1768731283.0327241,704512,-18.48578643798828
1768731286.419053,708608,-19.168241500854492
1768731289.842271,712704,-17.856094360351562
1768731293.2647085,716800,-18.781095504760742
1768731296.6686265,720896,-15.680116653442383
1768731300.1799805,724992,-16.956117630004883
1768731303.6345592,729088,-15.259175300598145
1768731307.0464637,733184,-15.806140899658203
1768731310.3928235,737280,-17.002079010009766
1768731313.7567925,741376,-18.108802795410156
1768731317.1161714,745472,-23.843124389648438
1768731320.6200151,749568,-23.42814826965332
1768731323.9938076,753664,-21.545207977294922
1768731327.5761397,757760,-17.543729782104492
1768731331.0104098,761856,-17.647533416748047
1768731334.4676232,765952,-17.345632553100586
1768731337.8646388,770048,-19.58233642578125
1768731341.2447553,774144,-22.04810333251953
1768731344.643238,778240,-23.39219093322754
1768731348.0375898,782336,-20.722576141357422
1768731351.4810042,786432,-20.905858993530273
1768731354.9280498,790528,-21.082393646240234
1768731358.3232238,794624,-24.71200942993164
1768731361.7450502,798720,-21.215322494506836
1768731365.2135477,802816,-20.929410934448242
1768731368.6589692,806912,-21.829498291015625
1768731372.0275211,811008,-23.1982421875
1768731375.4032693,815104,-22.13821029663086
1768731378.870907,819200,-21.5079288482666
1768731382.3512769,823296,-21.216259002685547
1768731385.733748,827392,-20.325593948364258
1768731389.1843143,831488,-19.89683723449707
1768731392.6192896,835584,-20.177167892456055
1768731396.0199635,839680,-20.91396141052246
1768731399.4160604,843776,-20.26784896850586
1768731402.799096,847872,-18.442424774169922
1768731406.2163565,851968,-19.601247787475586
1768731409.6679802,856064,-16.555335998535156
1768731413.093239,860160,-16.215167999267578
1768731416.6136348,864256,-16.465919494628906
1768731420.0473745,868352,-14.956016540527344
1768731423.4704282,872448,-18.109251022338867
1768731426.870891,876544,-18.98447036743164
1768731430.2873058,880640,-17.67922019958496
1768731433.7486737,884736,-19.27334213256836
1768731437.0917425,888832,-19.230838775634766
1768731440.4491944,892928,-16.638225555419922
1768731443.9444797,897024,-16.037944793701172
1768731447.373919,901120,-16.09034538269043
1768731450.8443534,905216,-17.065074920654297
1768731454.2956388,909312,-18.615381240844727
1768731457.681674,913408,-16.002317428588867
1768731461.0241563,917504,-19.9024600982666
1768731464.4066274,921600,-18.921049118041992
1768731467.7710788,925696,-18.15750503540039
1768731471.197007,929792,-17.823469161987305
1768731474.625119,933888,-22.850475311279297
1768731478.0321467,937984,-20.1082763671875
1768731481.5512695,942080,-18.082544326782227
1768731484.9745739,946176,-13.179535865783691
1768731488.4812174,950272,-12.04620361328125
1768731491.9951007,954368,-12.094178199768066
