step,rl_mean,rl_std,rl_ema,baseline_mean,baseline_std,baseline_ema,pid_mean,pid_std,pid_ema
0,4.920692738294601,1.6078739680422345,4.920692738294601,4.918887264728546,1.6070012048958593,4.918887264728546,4.9168067395687105,1.6075225753337783,4.9168067395687105
1,4.9228216791152954,1.6084679690493384,4.920714027702808,4.915835876464843,1.6063213971455583,4.91885675084591,4.907363692522049,1.6078966886728212,4.916712309098244
2,4.928108353614807,1.6084737953963417,4.920787970961928,4.911457970142364,1.6062219103044184,4.918782763038875,4.8917595899105075,1.609033667677203,4.916462781906367
3,4.938344233036041,1.6080057865365542,4.92096353358267,4.906285297870636,1.6063958403974532,4.9186577883871925,4.870692971944809,1.6106525564300684,4.916005083806752
4,4.953520079851151,1.6072298140045351,4.921289099045355,4.900719337463379,1.60733713237375,4.9184784038779545,4.845188324451446,1.613257534503914,4.915296916213199
5,4.974148604869843,1.606331168520193,4.921817694103599,4.895243762731552,1.609925011458074,4.91824605746649,4.816822953224182,1.617804120857361,4.914312176583309
6,5.000180678367615,1.605645797591737,4.92260132394624,4.889977136850357,1.6154261424680065,4.917963368260329,4.787335579395294,1.6252562344140091,4.913042410611428
7,5.03099796295166,1.6062675143423222,4.9236852903362935,4.885462104082108,1.6249503201614162,4.917638355618547,4.758180754184723,1.6366613222379072,4.9114937940471615
8,5.0651490068435665,1.6087082829042156,4.925099927501367,4.882484512329102,1.6397095912255486,4.917286817185653,4.7303293561935424,1.652942345821814,4.909682149668625
9,5.0908195543289185,1.6175755114077486,4.926757123769642,4.881523033380509,1.660964937983993,4.916929179347601,4.704783849716186,1.6752002434189315,4.9076331666691
10,5.186856915950775,1.6014791983516101,4.929358121691453,4.888336318731308,1.6897516513137578,4.916643250741439,4.683021604418754,1.7045254656326805,4.905387051046597
11,5.196290047168731,1.6055897036038211,4.932027440946226,4.891625975370407,1.7255153273536763,4.9163930779877285,4.665815432071685,1.7408084490100868,4.902991334856848
12,5.193945338726044,1.6032944569286236,4.934646619924024,4.92675910115242,1.7815857979179466,4.916496738219376,4.698645144701004,1.7411281081022685,4.90094787295529
13,5.158987712860108,1.5650276544994515,4.936890030853385,4.915455782413483,1.724483478493883,4.916486328661317,4.644773378372192,1.7610308983623664,4.898386128009459
14,5.216875636577607,1.571465454051132,4.939689886910627,4.795760428905487,1.7616096149213516,4.915279069663758,4.5786589336395265,1.7847896201382714,4.89518885606576
15,5.183184320926666,1.5912397495865132,4.942124831250788,4.858360357284546,1.7367506022433603,4.914709882539967,4.5253121173381805,1.7317808461050381,4.891490088678484
16,5.073476605415344,1.5483177390846252,4.943438348992434,4.801057645082474,1.8216513567459718,4.913573360165391,4.458153291940689,1.7572001316654209,4.887156720711107
17,5.056544585227966,1.5312303084364511,4.944569411354789,4.7801450967788695,1.8507894723642255,4.9122390775315266,4.429420911073684,1.7747958906369365,4.882579362614733
18,4.99427602648735,1.5668643912919522,4.945066477506115,4.7011133992671965,1.8727028495156615,4.910127820748884,4.366178451776505,1.813846246045147,4.87741535350635
19,4.9659242594242095,1.5438718256016175,4.945275055325296,4.676391714215279,1.8918322912357188,4.907790459683548,4.328663755059242,1.851617274542595,4.871927837521878
20,4.960152373313904,1.5467552416138353,4.945423828505183,4.651103483438492,1.9094933018023987,4.905223589921098,4.314421787858009,1.8827915909490902,4.866352777025239
21,4.95784122467041,1.5498261384810368,4.945548002466834,4.627186190485954,1.9481384489905025,4.902443215926747,4.334367688894272,1.8662120824774389,4.8610329261439285
22,5.015030696392059,1.5749617535559404,4.946242829406087,4.5086689841747285,1.8473215015352589,4.898505473609227,4.3186720770597455,1.9194217454407578,4.855609317653086
23,5.02499440908432,1.5663558945167348,4.947030345202869,4.500692154169083,1.9218255330881824,4.894527340414825,4.292543421983719,1.9039229149544983,4.849978658696393
24,5.058422698974609,1.5596174482858818,4.948144268740586,4.531280386447906,1.9461554316398282,4.890894870875156,4.268317421376705,1.8769117348688464,4.844162046323196
25,5.11464704155922,1.5810606853815037,4.949809296468772,4.506841108500957,1.98091215694033,4.887054333251414,4.237897007763386,1.8472625084850545,4.838099395937597
26,5.115755988359451,1.580602641590349,4.9514687633876795,4.473191820681095,2.029573266823311,4.882915708125711,4.220958843231201,1.8991018707222866,4.8319279904105334
